product_index,user_index,predicted_rating,product_name,img_link,product_link,discounted_price,rating,rating_count,review_title,review_content,dl_prediction,final_score
604,650,7.4401994,"HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard, 4 LED Indicators, Mechanical Switches, Double Injection Key Caps, and Windows Lock Key(4QN01AA)",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/414js-21FqL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HP-GK320-Gaming-Keyboard-4QN01AA/dp/B08498H13H/ref=sr_1_469?qid=1672903018&s=computers&sr=1-469,1519.0,4.3,408,"I was skeptical at the beginning but now love it.,It is mechanical keyboard,Very Good Build quality, price of Rs.1500/- is justified.,Amazing,Great budget keyboard,Value for money,Very good performance,It is good if you get it under 2000 otherwise don't buy it","At the sub 2000 INR price range, I was doubtful to buy a mechanical keyboard as there are a lot of disappointing pseudo mechanical keyboards available at this range. I already had a logitech G213 prodigy which was great with it's membrane so I almost thought of not buying it. But after much thought I bought it. It turns out to be amazing. It has a key cap remover included which is a great bonus. Each click feels responsive and great, I am typing 15+ wpm with this compared to my G213. The size is a bit small for a full sized keyboard and the RGB is somewhat painful. But other than that , it is the best keyboard in this price range.,Good keyboard for people who loves typing sound 😊,Nice product, Very Good Build quality, price of Rs.1500/- is justified. and i have written the review using the same key board.,Best budget friendly,A very good keyboard to begin your mechanical keyboard journey with. This is much better than any membrane keyboard you will ever use.Been using for more than 1 year and still working fine, although the blue switches slowly lose their crisp sound but that is expected from this brand of switches.,Value for money, I wish i could coustomise to colour of RGB  but rest it's very good.,Very good product 👌 and perfectly working well,Hello guys today I am going to tell you about HP GK 320 gaming keyboard so it cost me around 1700 and I give the ratings from 5 star I will give it three star because it have some RGB issues and I recommend you only buy this keyboard if you get it under 2000 if it cost over 2000 I recommend that don't buy this keyboard",0.037609193,4.479163317762151
1332,650,7.3942637,"VRPRIME Lint Roller Lint Remover for Clothes, Pet | 360 Sheets Reusable Sticky Easy-Tear Sheet Brush for Clothes, Furniture, Carpet, Dog Fur, Sweater, Dust & Dirt (4 Rolls - 90 Sheet Each Roll)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51qZekzGLxL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/VRPRIME-Remover-Reusable-Easy-Tear-Furniture/dp/B0BN6M3TCM/ref=sr_1_230?qid=1672923603&s=kitchen&sr=1-230,499.0,4.6,79,"Superb,Very helpful and great quality,Exactly what it says on the tin,A must product for pet parents,Must purchase if u have pet...,Totally worth it,Good product,Easy to use and usefull prody","Value for money,The quality of the tapes are as expected and they are really good. Value for money. This is the best rate I could find here for a lint roller.,Found this lint roller to be quite good. The adhesion is great. Needed this mainly to clean hair off of jackets and such and works really well. Gets all the hair and lint off without damaging the material of the jacket. The handle is sturdy although the rotating bit rattles a little but nothing that adversely impacts use. All in all would definitely recommend!,Its easy to use and value for money product... Can be stored and used easily...,It's very easy to use and good quality of the product 👌,I saw it first time on youtube , so thought of giving a try and it is totally worth it. Was suprised u get 4 of them with 90 sheet each . I use it not only for lint but to also remove tony dust particles from my desktop and mousepad. Must tey if u haven't used lint roller before.,Amazing product good quality Go for it….,If you have dog or cat in your home this product is must!! It is really usefull,  It works on almost all type of clothes and it can be used on bedsheets curtain or on sofa.. I ordered set of 4 and it has 90 layers on each so its budget friendly as well, go for itt!!!!",0.044654388,4.454419975564808
396,687,7.3420963,"TP-Link Archer AC1200 Archer C6 Wi-Fi Speed Up to 867 Mbps/5 GHz + 400 Mbps/2.4 GHz, 5 Gigabit Ports, 4 External Antennas, MU-MIMO, Dual Band, WiFi Coverage with Access Point Mode, Black",https://m.media-amazon.com/images/I/41VDUqScJFL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-Archer-C6-Wireless-MU-MIMO/dp/B07GVR9TG7/ref=sr_1_84?qid=1672902998&s=computers&sr=1-84,2499.0,4.4,"35,024","Excellent offering from TP-Link,Signal disconnected,Bad packaging from Amazon,Good product for that money,The WiFi range got increased, compare to my old Router!,Very good router in this price segment,Good Product,Wifi router","My ISP provided modem-router combo is in another location in the house, and I was getting speed drops on 5 Ghz when I was across the house [as was expected]. So, I decided to buy this router to use as an access point. The setup is pretty straightforward, provided you know what you are doing.As is mentioned on the product page, this router comes with two modes -- router mode and access point mode. If you are using it in addition to your ISP provided modem-router, I would suggest using it in the access point mode only.The range and the speeds are working better than I expected for the price -- certainly better than the router that the ISP provides. The router does come with a LAN cable, but the quality of the cable is not very confidence inspiring. The LEDs on the front can be configured via the Tether app to switch off at specific times, which is a neat feature. Apart from that, I have found Tether app to be pretty useless. It doesn't specify the device identity for some reason, just shows the IP and ""unknown"", until you rename the device yourself. Sometimes it doesn't even list all the devices connected. I guess it is better to use the router settings from the browser itself if you want to dig into the settings.I would like to add one more thing in the end. This router looks pretty slick, and I don't think it has gotten enough credits for that. Kept on the table, or even hung from the wall, it looks and feels premium for the price -- and that is in addition to all the amazing features it has.,Router gets sometime auto disconnected even though it is connected to internet,I don't have any issue with router but sure with Amazon packaging method bcz no paper bag or anything were used it was only the box,Good product for that price. Good range,So far everything looks good, wIll update the review after a few months of usage!,Awasome experience, go for it with out any hasitation, assistance also very good.,Highly recommended to purchase, overall a good purchase, you will never regrate after purchasing it.,Signal strength can be improved further.So far good to go.",0.038409576,4.420621610141723
271,650,7.272602,Havells Ambrose 1200mm Ceiling Fan (Pearl White Wood),https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31RpzeqSq3L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Havells-Ambrose-1200mm-Ceiling-Pearl/dp/B01L7C4IU2/ref=sr_1_480?qid=1672923615&s=kitchen&sr=1-480,2199.0,4.2,"2,686","Very good product..quality is good,A good product with superb buid quality,Not happy,Good,Good,Noisy but good,Remote control spoils the fan operation,Good performance","Nice color..,Overall I am satisfied with the product, paint quality and buid quality is good. Only problem that it catches dust very easily so need to clean every week.,Not happy from this product motor of the not good . Within a year fan getting slow. Motor of one our was replaced by within 2 month.another needs repair,Less noise, good. It's look good if they included SS lining for border for brown design,Good product,Noisy fan. And slower speed , more noise.,Remote control spoils the fan operation,Good product",0.048811622,4.383085848785591
527,650,7.2304606,"iQOO 9 SE 5G (Sunset Sierra, 8GB RAM, 128GB Storage) | Qualcomm Snapdragon 888 | 66W Flash Charge",https://m.media-amazon.com/images/I/41UwKwpK40L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/iQOO-Sunset-Storage-Qualcomm-Snapdragon/dp/B07WHS7MZ1/ref=sr_1_336?qid=1672895842&s=electronics&sr=1-336,29990.0,4.3,"8,399","Real Monster 👽,Overall good,Good performance oriented phone,An all Rounder in the < 30k segment,All good, battery life could be better.,A good Phone with few disadvantages.,Value for Money product,❤️","Posting This After 8 Days of Continous Usage:I came from Oneplus 5t that too because last to last week I had an accident and my 5t has dead on the spot.After watching a lot of reviews on Youtube and Amazon, I thought I should give it a chance.First Impression:-• As you all know OP 5t has small display so it's hard for first 3-4 days to use/Typing because of big display.• A little heavy but that could be because of upgraded species and battery from my last 5t.• Solid built but it if it's metal build then it will be more beautiful.• Space fusion color is looking killer.• Flash charger works awsome but charger design can be improved• Display is crisp and clear but but in dark apps (i.e, chrome, brave, linkdin etc) you'll notice a color change (from Black to Greyish color) that gives a cheap feel and I don't know if it's a software or hardware issue.Actual Review:-• While gaming (Call of duty:mobile) has some lags and bugs and there is no option to block notification/calls even after mute notification ONN everything is coming on screen and it's very frustrating and annoying.• Battlefield mobile ground, Asphalt 9, Clash of Clans, Battle Royale are working flowless.• Some apps like Flipkart and Airtel gives some error (screen zoom automatically while opening) might be because of android 12 or something else.• Now this is very weird that this phone reset a few setting automatically themselves when I don't want that. I don't want to set them everyday before using my phone (i.e, I am using Bouncer to remove app permission when not in use and this phone remove accessibility setting even after batter optimization and background run.While listing to music I want paranomic 360 sound but it reset to default automatically.• Gesture are not working fine, this can be fixed with future updates.• I admit that funtouch OS has some more customization then Oxygen OS but it is missing some basic customization feature like I cannot change accent color, shape, size and the default one is looking very cheap must be because Oneplus oxygen OS is in my eyes but I am not overcome from oxygen OS, Oxygen Os is lub• Funtouch OS is very uncomfortable for me for the first 4-5 days but now I'm getting it a little.• Less feature in gaming mode in comparison to Iqoo 7📷Camera:-• Average as of now takes good picture in night/evening time and selfie camera is awsome.• OIS works good as per the budget and gives value for money.• Day time picture are good but something it changes the saturation/color by itself automatically.• No heat observed while gaming/doing heavy task (minimal heat that every phone has now a days and it is 40°c outside so this is not a big deal for me.• Screen recorder and mic works awsome• Crisp clear display except the issue I told above• 6-7 SOT in one charge (0-100)• 42-44 minutes charging time (0-100)• No bugs lags observed till date• 120Hz refresh rate made it monster• Some preinstalled bloatware can be uninstall but some has to be force stop only or you can use Adb commande to remove permanently.• A few apps are unnecessary like browser and a screen (virus scan) comes just after install an app from play store that very annoying and somehow I stopped that.• Speaker volume is sufficient (enoug loud in a room)Conclusion:-In 31k it's worth for money with Snapdragon 888 processor and intelligent chip.Only thing that I don't like is funtoch os because it not gives a premium flagship phone experince.Has some bugs as of now (i.e, In gaming mode, in a few apps, camera, Display) that might fixed with future updates.Overall worth for money, And Yes you can pick it over Oneplus 9RT (like I said you'll probably feel bad for a week with it's Funtoch Os but you'll be okay with it after sometime.Just because of oxygen os spending 8-10k is not a great idea I think.,Camera quality is good , Video stability is awesome, processing and other functions are nice .  UI is not that good and battery life is not upto the mark,Pros:- Super fast app experience due to Snapdragon 888- Super fast charging- good display but not comparable with Super Amoled of Samsung/ other phone- Good large display size- No heating in general use. Only seen when using camera /video call but it cools down fast.- Accessories given with the phone like Fast charger, USB c to 3.5 female adater, thin screen guard and translucent back cover.- Ok camera:Cons:- Display is not super amoled or vivid like Samsung A or S Series phone- Battery drains fast- Avg front camera- Earth current can be felt when touching back camera while charging.,I was skeptical about the phone would perform as SD 888 has its own share of heating issues and all, but for 28k, this is one of the best phones in the segment.I had Pixel 6A and Nothing phone 1 as other options. Although their camera and software might be better in some aspects, the performance, the camera and gaming features this phone offers is incredible.Also Pixel and Nothing phone dosent give charger in the box so it's a plus point.The only issue I faced is when I switch the phone to 60Hz. It starts to act as it lowers to 30,40 fps or something. And the battery life is average. It's 1 charge in the evening for sure. But decent battery coupled with a fast charger is more than enough.I use nova launcher with this and this solves the home screen style. Recommended to all.,Good display, good sound although sound is not much loud but have a sweet bass, smooth experience, camera good but front video could be given 60 fps, good haptic, every thing is good up to the mark but battery life could be better. Overall satisfied with the product.,They are ok, i can rate 2.5/5,Mobile is worth its money.,Idont use fingerprint and camera are very good battery life ok",0.0689701,4.365864399636612
1152,687,7.2229757,Spigen Ultra Hybrid Back Cover Case Compatible with iPhone 14 Pro max (TPU + Poly Carbonate | Crystal Clear),https://m.media-amazon.com/images/I/51JrMWMAmnL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Spigen-Hybrid-Compatible-Carbonate-Crystal/dp/B0B1NX6JTN/ref=sr_1_389?qid=1672895864&s=electronics&sr=1-389,1599.0,4.3,"1,801","Good Looking Sturdy cover,Perfect fit for 14 pro max,Excellent fit and value for money must buy if using non mag charger,Excellent,Over priced,Awesome,Worth the money,Quality product","The cover felt sturdy and came in sealed package. There were protective films covering the cover from both side which had to be removed before putting cover on the phone.The fit was perfect and to take off the cover we might need to use some force . Overall the quality is good , will update after few months of usage about the colour fading/scratches.,The cover wraps around the iphone 14 pro max too tightly, making it difficult to remove once put. But at the same time, the cover feels solid and sturdy, providing complete protection the phone.,Excellent product. Avoid local market product for such premium phones 100% value for money,Excellent,normal transparent one but the price they are asking is too much. Like they are trying to loot ppl.,Awesome,Bought this as spigen is a decent brand. This is my initial case as I am waiting for better cases to be designed and released. Overall a decent case with decent protection for the phone and cameras.,This product is of good quality",0.02416559,4.343451656117482
316,650,7.0788064,Philips PowerPro FC9352/01 Compact Bagless Vacuum Cleaner (Blue),https://m.media-amazon.com/images/I/41xQDop2T5L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Philips-PowerPro-FC9352-01-Compact/dp/B072J83V9W/ref=sr_1_146?qid=1672923597&s=kitchen&sr=1-146,8999.0,4.4,"17,994","Hassle free bagless vacuum cleaner | No more of maintaining/cleaning/replacing bags,Nice little vacuum cleaner but with a couple of drawbacks.,Simple and Effective,A,On the heavier side but satisfied with the product,Good quality, heavy noise,Great Product!,Awesome Cleaning Machine","Once you start using a bagless vacuum cleaner, you will never turn back (using it on a weekly basis since Nov 2021, so its a long tern review). Coming from another vacuum cleaner that had bags, this one is truly a hassle-free cleaner, at least you are away from the hassle of maintaining/cleaning/replacing bags which is truly a mess, and you would understand only if you have used cleaners with bags. Further, devices with bags tend to get chocked now and then, leading to less suction.•••••••••••••••••••🎁 INSIDE BOX•••••••••••••••••••1. Vacuum cleaner unit2. Flexible pipe with integrated retraceable brush and suction adjustment knob3. Turbo brush nozzle4. Multi-clean nozzle5. High suction flat inlet nozzle6. Telescopic extension pipe7. User manual8. Warranty cardThe power cord is ~6mtr and device comes with a mechanish to retrace it back into the machine. It has normal 16 amp 2 pin top which can easily fit in 3 or 5-pin sockets (both 5/6 amp or 15/16amp), but better to connect it to 15/16 amp ones only considering its power consumption.•••••••••••••••••••••••••••••••••••••➕ OBSERVATIONS & PROS•••••••••••••••••••••••••••••••••••••1. Device has high suction power and can be cleaned easily with a bagless design where dust collects in a chamber, and you can empty it in the dustbin—no hassles of cleaning and replacing bags.2. Components are high quality, such as the telescopic extension is metallic, though it's also a con for this attachment. Even plastic components are of good quality.3. Device easily moves around owing to its big and smooth wheels. You don't need to pull it by force.4. Default flexible pipe itself is long and has an integrated brush that can also be retracted. Its a highly useful attachment considering it's attached to a primary flexible pipe and is easily available for use.5. Each attachment here is multipurpose. When you open the package, you feel like very few attachments are provided, but when you start exploring, you discover that all attachments are multipurpose. (details below)6. Attachments are easy snap fit and remove (ActiveLock in the company's terminology). Once you insert the attachments, it click locks and can be removed by a press of a button or release lever.7. Both the turbo brush and multi-nozzle have flexible neck and wheels on the bottom for easy movement and effective cleaning8. Dust collector can be opened with one press and has removable filters attached to it. These filters can be washed once in a while to prevent clogging.9. the Main unit has H13 filter system to filter fine dust, dust mites, etc., and is equivalent to HEPA 13, as per the company. This filter is accessible from the backside for cleaning purposes.10. Device obviously makes sound but is not in the range of causing irritation to the ears. It's in the bearable range.•••••••••••••••••••••••••••••••••••••➖ OBSERVATIONS & CONS•••••••••••••••••••••••••••••••••••••1. Telescopic extension is metallic and heavy. So, it's a bit of trouble to use for longer durations, especially when you are trying to clean ceilings.2. Reduction of suction power is via a bypass valve built into the flexible pipe and has no way to reduce the power of the machine to reduce suction. So effectively, this valve makes cleaner suck in air from in between to reduce suction at the end, but then consumes the same amount of power. If there had been a control mechanism to reduce power, it would also save electricity.3. Device comes with a 16amp top but its 2-pin, so if you are going to use it with modular power sockets with self closing mechanism for holes, it will be a trouble to plug it in everytime.4. I miss the blower system in this cleaner, which is handy at times (was there in my previous cleaner). They could have easily implemented it.For the cons reducing 1 star, but its definitely a 4-star device.•••••••••••••••••••••••••••••••••••••🔧 Attachments•••••••••••••••••••••••••••••••••••••- Flexbile pipe comes with an integrated brush, and you can easily retract it back onto the pipe- Multipurpose nozzle has a button to increase its suction power, and with one press, it goes nearer to the floor- Turbo brush nozzle sweeps the floor or mattress with rotating bristles along the length, and if you want to turn off the rotation of the brush, there is a button to lock it- Main unit has a system on the back and botton side to attach the multi-clean and turbo brush nozzle primarily for easy sweep or for storage purposes•••••••••••••••••••••••🏆 FINAL VERDICT•••••••••••••••••••••••This bagless vacuum cleaner is a hassle-free device and requires very less maintenance but it comes at a cost, and if you are willing to stretch your budget, it's definitely worth it. I have had no any issues so far in the past 1 year, when using it regularly.,This is a nice bag less vaccum cleaner with a rotating brush that does a great job of cleaning. It also comes with good set of accessories. I found it also cheaper to order it online compared to the ‘Croma’ store. Two drawbacks (not a deal breaker) I found and I hope Philips addresses them were,1. It comes with a two pin 15 ampere plug and you need to buy an adapter to use with normal 5 ampere plugs in the house. I was afraid to use the adapter thinking that it may heat with the use but had no issues with heating of the adapter or the plugs in the wall during 15-20 minutes of cleaning each room in the house. I do not see a point in having that plug.2. During the use one just pulls it along but It has no handle to lift the machine. I believe that one can use the handle of the dust canister to lift the machine but I am afraid that repeated lifting like this will break the click-on mechanism so ended up lifting the machine as a whole all the time while moving the machine without the hose.As I mentioned earlier these are not deal breaker but enough to take one star off and can have the star back if Philips addresses the issues on this great little machine.,Suction power is good suitable for cleaning carpet , window curtains ,floors and carpets.Cleaning the dust container is also very easy. Only concern i have is, if some length power cord is not pulled out from machine, the power wire that still reamins inside the machine is getting heat from suction motor, after using the machine for nearly 1 hour and i pulled out the cord that was in the machine, it was actually liitle hot to touch not sure is it safe for the live power cord to warm up like this. would have been even better, if this had blower functionality also.,Good product,Cord length and Suction power is satisfactory,Good quality, heavy noise,This is the first vacuum cleaner purchase for me and I can say that I am a happy customer. I bought this back in August '22 and it is serving me well. It comes with attachments that are convenient and reach high places, it has three modes of cleaning (tiled floors, carpets and sofas) and with pets in the house it has made my life that much easier. Thank you Phillips for a good product and thank you Amazon for a smooth transaction.,Well-built, top-notch quality, suction power is too high.",0.061020155,4.271691902919974
911,687,6.962346,"Duracell Micro USB 3A Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). Supports QC 2.0/3.0 Charging, High Speed Data Transmission - Black",https://m.media-amazon.com/images/I/41Fu3K9KAZL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Micro-braided-Charge-Cable/dp/B09C6FML9B/ref=sr_1_214?qid=1672909134&s=electronics&sr=1-214,320.0,4.1,491,"Good product,Good product,Built and charge power,Nice product Happy to buy,Not recommended,Good quality but charge little slow,Stopped working within 6 months,Value for money","Good one,Perfect one,I like its built, charging power to my phone is adequate...very good so far,mostly like.*****,Received today duracell charging cable. Depending on customers reviews and duracell brand I purchased this cable. But regret to say that charging speed is very very low.. I charged my tablet and within one and a half hour only 10 percent charged.  Not at all satisfied with the product.,The quality of wire and usb pin is good but it charge mobile little slow than the charger provided with mobile by oppo / real me / samsung.,Was working well but suddenly stopped working within 6 months of purchase.,Best product",0.04715968,4.196271471693611
505,687,6.807841,"Western Digital WD 2TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31iDEczWTWL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Passport-Portable-External-Drive-Black/dp/B07VTFN6HM/ref=sr_1_229?qid=1672903006&s=computers&sr=1-229,5599.0,4.4,"73,005","Good enough for now.. Could be better..,Amzon better then Flipcart & Others,Compact and Reliable 2TB External HDD: A Must-Have for Storing and Backing Up Your Data,💝👍One of the best available mechanical external hard disks,Nice,Woth Money,Good product,Heating problem","It's been only 10 days and used it to transfer 64gb for now.. so i have not used it enough..i would update this after some days.. my relative bought seagate onetouch (Its best competitor) so i would compare it with it..**SPEED**Multiple Photos (32gb): Got 105 mbps max but 95 consistent..Single file(4.2gb):Got 117mbps max and it was more or less consistent..The onetouch reached 133mbps for multiple big files.. didnt check it further..**BUILD**It is very sleek and lightweight.. for sure.. but it does not feel very premium.. it is plastic all around.. you can definitely feel the vibration of the platters while file transfer..the onetouch was very premium feeling..metal and plastic body.. and i could feel its vibrations.. but it was much less than passport.. ( the passport is slimmer and shorter than onetouch ... maybe thats why..**SOFTWARE**My experience has not been much good.. i could not register my product for some days.. the screen got white and did not show anything.. there is no free backup software.. you are asked to backup on gdrive, dropbox or onedrive.. no recovey tool included.. i think it is a paid service ..not sure about the last one..cant say about the software experience on onetouch.. didnt see it.. but it includes 3 months adobe cc if you are into this..**RELIABILITY**Now the big part.. This is the only reason  i bought this one.. otherwise i would no doubt go for the onetouch.. seagate drives tend to fail twice as much as wd drives.. so i could not take risk.. many claim seagate has now learnt from their mistake and d is falling behind by staying in the top spot.. cant say about the first sentence, but quite sure about the second..**MISC**Came with no bubble wrap.. only a plastic tray which was maybe well enough..cable could be a bit better..onetouch's one had grip for pulling it out and seemed better..Has fine texture on body so no fingerprint..onetouch and this one both are same price.. you can go for anyone of these..Sorry for the long review.. But i wanted to tell the buyers the complete story.. would update my review later..,Amzon realy amzing service... If not discount but amzon not provide fake! so i like to buy Amzon product.. 5TB WD Hard Drive Amazing,I am extremely satisfied with my purchase. The HDD is compact and lightweight, making it easy to carry around with me. It is also very easy to use - all I had to do was plug it in and it was ready to go.The 2TB of storage space is more than enough for my needs, and it is a great way to store and back up all of my important data. The HDD is also very fast, which makes transferring files a breeze.Overall, I am extremely happy with my purchase of this 2TB external HDD. It is a reliable and convenient to store and back up my data, and I would highly recommend it to anyone in need of additional storage space.,,Good quality,Happy with this product. Very nice. Do not forget to buy its case separately.,Product is good,It heats up quickly.",0.06834643,4.11204317370913
717,687,6.5870824,"Croma 500W Mixer Grinder with 3 Stainless Steel Leak-proof Jars, 3 speed & Pulse function, 2 years warranty (CRAK4184, White & Purple)",https://m.media-amazon.com/images/I/41i1uzCEyWL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Croma-500-Watt-Grinder-CRAK4184-Purple/dp/B08KDBLMQP/ref=sr_1_27?qid=1672923591&s=kitchen&sr=1-27,1290.0,4.0,"6,530","Best products,Ok,Short Nd sweet product,Good,About warranty card,Good,Good 👍,It's affordable but cheap quality","पार्टी में फिश बनाने के लिए लगातार लगभग 5किलो लहसुन ,पोस्ता दाना , सरसो तथा अन्य मसाले की पिसाई की,Ok but quality not good,Thoda product small h baki sb mst h,Good,I did not get warranty card,Good for small family.,OK 👍,If you can afford it, go for more well known brands in the mixer business. This one is cheap quality but great for the price.Please note that there's a burning smell for quite a few uses. Also, if you grind for more than 10-15 seconds, it tends to 'trip'. Then you have to let it cool down and push the red button at the base to restart it.You can easily make dosa batter, chutneys etc. Just soak the rice and urad dal overnight since it's not very sturdy.",0.05701558,3.975055672795119
